Id,Heading,Article.Banner.Image,Outlets,Article.Description,Full_Article,Article_Type,Tonality
d6995462-5e87-453b-b64d-e9f1df6e94d2,"A Puzzling Maneuver, Then Freefall: NTSB Report Provides New Details in Southeast Alaska Helicopter Crash That Killed 3",,Essex Caller,"<p>The helicopter that crashed in Southeast Alaska in late September, killing three people, entered a 500-foot freefall before dropping to a Glacier Bay National Park beach, according to by the National Transportation Safety Board. The preliminary NTSB report released Friday offers no official probable cause. That determination won&lsquo;t be made until next year at the earliest.</p>","<p>The helicopter that crashed in Southeast Alaska in late September, killing three people, entered a 500-foot freefall before dropping to a Glacier Bay National Park beach, according to by the National Transportation Safety Board.&nbsp;The preliminary NTSB report released Friday offers no official probable cause. That determination won&lsquo;t be made until next year at the earliest.</p>",Commercial,Negative
8b05e939-a89e-4548-b92b-013822e8ee7d,Bell’s Nexus Air Taxi Concept Rings Changes For eVTOL Market,,Aviation Week Network,"<p>A year after teasing the fledgling electric vertical-takeoff-and-landing (eVTOL) industry with a mockup of a futuristic air taxi cabin, rotary-wing giant Bell has unveiled the first major configuration details of its Nexus on-demand urban air mobility (UAM) concept. Revealed at the Consumer Technology Association&rsquo;s CES 2019 show in Las Vegas, Bell&rsquo;s Nexus is distinguished by six tilting ducted fans and sized to carry four passengers and a pilot.&nbsp;</p>","<p>A year after teasing the fledgling electric vertical-takeoff-and-landing (eVTOL) industry with a mockup of a futuristic air taxi cabin, rotary-wing giant Bell has unveiled the first major configuration details of its Nexus on-demand urban air mobility (UAM) concept. Revealed at the Consumer Technology Association&rsquo;s CES 2019 show in Las Vegas, Bell&rsquo;s Nexus is distinguished by six tilting ducted fans and sized to carry four passengers and a pilot.&nbsp;</p>",Commercial,Positive
69fcd400-bceb-4255-8277-619f2d68ac0b,Bell Helicopter Show Air Taxi Nexus,http://images.tmtpost.com/uploads/images/2019/01/20190108074154855.png,TMTPost,"<p>Bell released the full-size design of the vertical take-off and landing ( VTOL ) air taxi during CES 2019. The new hybrid air taxi was named Nexus. It connects transportation, technology and comfort and convenience.</p>","<p>Bell released the full-size design of the vertical take-off and landing ( VTOL ) air taxi during CES 2019. The new hybrid air taxi was named Nexus. It connects transportation, technology and comfort and convenience.</p>",Commercial,Positive
17943578-c11b-414b-b3f5-063d3a93157b,BELL DÉVOILE LA CONCEPTION INTÉGRALE DE SON TAXI AÉRIEN,http://www.fredzone.org/wp-content/uploads/2019/01/bell-2-640x336.jpg,Fredzone,"<p>Bell est une soci&eacute;t&eacute; am&eacute;ricaine dirig&eacute;e par Mitch Snyder. La start-up a abandonn&eacute; la construction d&rsquo;h&eacute;licopt&egrave;res pour se consacrer essentiellement aux nouvelles solutions de mobilit&eacute;s urbaines. Le 07 janvier 2019, le CEO d&eacute;voile au public &laquo; Bell Nexus. &raquo; Il &lsquo;agit d&rsquo;un taxi a&eacute;rien hybride &agrave; cinq places capable de d&eacute;coller et atterrir &agrave; la verticale.</p>","<p>Bell est une soci&eacute;t&eacute; am&eacute;ricaine dirig&eacute;e par Mitch Snyder. La start-up a abandonn&eacute; la construction d&rsquo;h&eacute;licopt&egrave;res pour se consacrer essentiellement aux nouvelles solutions de mobilit&eacute;s urbaines. Le 07 janvier 2019, le CEO d&eacute;voile au public &laquo; Bell Nexus. &raquo; Il &lsquo;agit d&rsquo;un taxi a&eacute;rien hybride &agrave; cinq places capable de d&eacute;coller et atterrir &agrave; la verticale.</p>",Commercial,Positive
f33c7b11-5f77-4a98-bb2e-d36689042aea,Les premiers retours d’Olivier Ezratty,,FrenchWeb,"<p>It was still anecdotal to observe the explosion of passenger drone projects, of which only two specimens were presented statically at the show, including the huge Bell Helicopter machine , which was equipped with French Safran gas turbines .</p>","<p>It was still anecdotal to observe the explosion of passenger drone projects, of which only two specimens were presented statically at the show, including the huge Bell Helicopter machine , which was equipped with French Safran gas turbines .</p>",Commercial,Positive
142dd70c-cf18-42d5-a319-f36f2858dee1,Highlights of CES 2019,,The Daily Star,"<p>The LG Signature OLED TV R is a 65-inch 4K TV which stunned viewers and audiences with its unique rolling feature. It sits on top of a metal housing, which it will slide back into elegantly when left idle. The TV can also be brought halfway up and become a smart home controller, music player amongst other useful things.</p>","<p>The LG Signature OLED TV R is a 65-inch 4K TV which stunned viewers and audiences with its unique rolling feature. It sits on top of a metal housing, which it will slide back into elegantly when left idle. The TV can also be brought halfway up and become a smart home controller, music player amongst other useful things.</p>",Commercial,Positive
f096edd3-13db-4ae2-b17c-a5038afa56be,Le Concept Vision Urbanetic Mercedes Entend Répondre à La Mobilité Urbaine Du Futur,,Eric Houguet,"<p>Le concept Vision Urbanetic Mercedes permet le d&eacute;placement des individus &agrave; la demande. La plateforme de conduite autonome Mercedes est anim&eacute; par un moteur &eacute;lectrique aliment&eacute; par une batterie. En tant que v&eacute;hicule partag&eacute;, le concept Vision Urbanetic peut accueillir jusqu&#39;&agrave; 12 passagers.</p>","<p>Le concept Vision Urbanetic Mercedes permet le d&eacute;placement des individus &agrave; la demande. La plateforme de conduite autonome Mercedes est anim&eacute; par un moteur &eacute;lectrique aliment&eacute; par une batterie. En tant que v&eacute;hicule partag&eacute;, le concept Vision Urbanetic peut accueillir jusqu&#39;&agrave; 12 passagers.</p>",Commercial,Positive
f8f917ec-0cb0-4a4d-986e-6839a554c1d1,Bell Company Announces Urban Air Taxi Nexus Concept Design,http://upload.cannews.com.cn/2019/0114/1547439765904.png,CanNews,"<p>Bell recently announced the detailed design of its urban air mobility system and announced its name as Nexus. The program uses six tilting ducted fans, uses a hybrid powertrain to provide power and all-electric control, and may also use an unmanned cabin.</p>","<p>Bell recently announced the detailed design of its urban air mobility system and announced its name as Nexus. The program uses six tilting ducted fans, uses a hybrid powertrain to provide power and all-electric control, and may also use an unmanned cabin.</p>",Commercial,Positive
1702dec7-7424-4695-92d1-58b4562fa039,Bell Helicopter Makes Debut as First Major Helicopter Manufacturer to Exhibit at CES,,AviationPros,"<p>Bell Helicopter, a Textron Inc. company and major global helicopter manufacturer, revealed today at CES 2018 its air taxi cabin design and fully integrated user experience. The four-passenger cabin demonstrates Bell&rsquo;s view of an on-demand mobility aircraft that focuses on a people-first engineered user experience tailored with an urban air taxi ride.</p>","<p>Bell Helicopter, a Textron Inc. company and major global helicopter manufacturer, revealed today at CES 2018 its air taxi cabin design and fully integrated user experience. The four-passenger cabin demonstrates Bell&rsquo;s view of an on-demand mobility aircraft that focuses on a people-first engineered user experience tailored with an urban air taxi ride.</p>",Commercial,Positive
1d110da1-05c7-4678-881d-0c544e6429d5,Bell Helicopter Unveils Nexus Air Taxi Concept At Ces,,Opulent Club,"<p>Bell Helicopter has unveiled the full-scale design model of its Nexus air taxi at CES 2019, betrays an approach that&rsquo;s both entirely bought in to the idea of high-tech, electric-powered, vertically-flying, mega-multirotors summoned by smartphone app.</p>","<p>Bell Helicopter has unveiled the full-scale design model of its Nexus air taxi at CES 2019, betrays an approach that&rsquo;s both entirely bought in to the idea of high-tech, electric-powered, vertically-flying, mega-multirotors summoned by smartphone app.</p>",Commercial,Positive
